ID,Cell_type,Brain_region,Trough_Peak_latency,ACG_tau_decay,ACG_tau_rise,Peak_asymmetry,Burst_index,RF_violation
76,Narrow Interneuron,LGd,0.391666666666667,260.134462875571,1.27723737508556,0.781103535225316,4.26222351571595,6.28376143754823
77,Pyramidal Cell,LGd,0.533333333333333,2.43908278585206,2.2899897032692,0.82542747121924,4.55462575546258,2.3977620887172
78,Wide Interneuron,CA1,0.75,15.642844147487,3.78485216805747,0.808228283419393,7.48148148148148,0
79,Wide Interneuron,CA1,0.591666666666667,9.25592547995855,6.08272779007412,0.464953015988915,3.59111111111111,1.585414189457
80,Narrow Interneuron,ZI,0.416666666666667,15.3246054513483,6.542290000858,0.864431318586339,0.79527559055118,1.67691447736165
81,Wide Interneuron,CA1,0.758333333333333,6.87951995093449,4.06520545502872,0.803606347093739,2.47010869565217,0
82,Narrow Interneuron,LGd,0.366666666666667,5.15097313285631,5.14537178528492,0.975154021991148,2.06122448979592,2.07200207200207
83,Wide Interneuron,LGd,0.475,75.7561397645557,25.1836045139131,0.71321145487021,4.86296296296297,1.28259940145361
84,Narrow Interneuron,ZI,0.275,499.999999992981,4.48439435395767,0.99951823444781,1.76231154316316,9.79524399598749
85,Wide Interneuron,LGd,0.558333333333333,4.53855347652221,3.86621074161027,1.02160744419025,4.22186495176849,0.335345405767941
86,Narrow Interneuron,CA1,0.391666666666667,18.5735174335761,8.33332653220373,1.06255370655786,0.511248593925759,0.828843762950684
87,Wide Interneuron,LGd,0.483333333333333,4.17468745384039,3.78115337655996,0.729776967727695,4.00440528634361,1.27877237851662
88,Narrow Interneuron,CA1,0.408333333333333,11.1895373596736,3.90791465948539,1.00674949896541,6.3125,0
89,Wide Interneuron,LGd,0.483333333333333,56.8793802329556,19.7724106875935,0.523648100264611,4.30109461688409,11.1206159110351
90,Wide Interneuron,LGd,0.541666666666667,13.5405444262369,6.76413187766343,0.610520113076119,2.72972972972973,0
91,Narrow Interneuron,LGd,0.4,13.4245739567013,4.01483214183091,1.02461372493161,0,3.1104199066874
92,Wide Interneuron,VISam,0.858333333333333,7.90520702362979,7.89616953538001,0.458028953090336,0.230206333973129,0.411353352529823
93,Narrow Interneuron,CA1,0.416666666666667,24.5448058803351,5.19247135037323,1.06272086671711,3.36666666666667,1.27713920817369
94,Pyramidal Cell,LGd,0.483333333333333,21.6250925414275,0.925528981575453,0.868552801675253,15.7656320287899,2.94939459795095
95,Narrow Interneuron,LGd,0.4,2.19422452328629,2.1005519435564,0.812493447572172,4.43260188087774,0.986517592897073
96,Narrow Interneuron,LGd,0.416666666666667,8.31067835008729,5.85944785511869,0.946443533331619,1.94230769230769,0
97,Pyramidal Cell,LGd,0.541666666666667,3.77102312721908,1.47242851181767,0.639135166548261,7.21428571428571,0
98,Narrow Interneuron,LGd,0.341666666666667,221.312072196384,1.00858272994193,0.277526523077732,5.45509350393701,2.85714285714286
99,Pyramidal Cell,LGd,0.533333333333333,6.20938020640236,1.49821981775983,0.671139860592866,0,0
100,Narrow Interneuron,LGd,0.4,20.6748479695482,7.36816913230954,1.00843852807628,22.4444444444444,0
101,Narrow Interneuron,ZI,0.4,14.530959652251,3.94932808775477,1.01744109888743,0,0
102,Pyramidal Cell,LGd,0.55,1.82209430772294,1.80452975303016,0.641499672135989,4.53932584269663,1.41242937853107
103,Pyramidal Cell,LGd,0.516666666666667,2.55294686353248,2.40385216454849,0.655288406489111,4.2840616966581,2.26654578422484
104,Narrow Interneuron,VISam,0.2,30.31761209672,3.93591611133507,1.01061377349142,5.60431306033438,0.630517023959647
